TransactionNo,Items,DateTime,Daypart,DayType,Date,Time,DayType_fixed,Hour,Daypart_fixed,Popular_Item
8,Pastry,2016-10-30 10:20:00,Morning,Weekend,2016-10-30,10:20:00,Sunday,10,Morning,Not Popular
8,Bread,2016-10-30 10:20:00,Morning,Weekend,2016-10-30,10:20:00,Sunday,10,Morning,Not Popular
9,Bread,2016-10-30 10:21:00,Morning,Weekend,2016-10-30,10:21:00,Sunday,10,Morning,Not Popular
9,Muffin,2016-10-30 10:21:00,Morning,Weekend,2016-10-30,10:21:00,Sunday,10,Morning,Not Popular
10,Scandinavian,2016-10-30 10:25:00,Morning,Weekend,2016-10-30,10:25:00,Sunday,10,Morning,Not Popular
10,Medialuna,2016-10-30 10:25:00,Morning,Weekend,2016-10-30,10:25:00,Sunday,10,Morning,Not Popular
11,Bread,2016-10-30 10:27:00,Morning,Weekend,2016-10-30,10:27:00,Sunday,10,Morning,Not Popular
11,Medialuna,2016-10-30 10:27:00,Morning,Weekend,2016-10-30,10:27:00,Sunday,10,Morning,Not Popular
12,Jam,2016-10-30 10:30:00,Morning,Weekend,2016-10-30,10:30:00,Sunday,10,Morning,Not Popular
12,Coffee,2016-10-30 10:30:00,Morning,Weekend,2016-10-30,10:30:00,Sunday,10,Morning,Popular
12,Tartine,2016-10-30 10:30:00,Morning,Weekend,2016-10-30,10:30:00,Sunday,10,Morning,Not Popular
12,Pastry,2016-10-30 10:30:00,Morning,Weekend,2016-10-30,10:30:00,Sunday,10,Morning,Not Popular
12,Tea,2016-10-30 10:30:00,Morning,Weekend,2016-10-30,10:30:00,Sunday,10,Morning,Not Popular
13,Basket,2016-10-30 10:31:00,Morning,Weekend,2016-10-30,10:31:00,Sunday,10,Morning,Not Popular
13,Bread,2016-10-30 10:31:00,Morning,Weekend,2016-10-30,10:31:00,Sunday,10,Morning,Not Popular
13,Coffee,2016-10-30 10:31:00,Morning,Weekend,2016-10-30,10:31:00,Sunday,10,Morning,Popular
14,Bread,2016-10-30 10:32:00,Morning,Weekend,2016-10-30,10:32:00,Sunday,10,Morning,Not Popular
14,Medialuna,2016-10-30 10:32:00,Morning,Weekend,2016-10-30,10:32:00,Sunday,10,Morning,Not Popular
14,Pastry,2016-10-30 10:32:00,Morning,Weekend,2016-10-30,10:32:00,Sunday,10,Morning,Not Popular
15,Mineral water,2016-10-30 10:34:00,Morning,Weekend,2016-10-30,10:34:00,Sunday,10,Morning,Not Popular
15,Scandinavian,2016-10-30 10:34:00,Morning,Weekend,2016-10-30,10:34:00,Sunday,10,Morning,Not Popular
16,Bread,2016-10-30 10:37:00,Morning,Weekend,2016-10-30,10:37:00,Sunday,10,Morning,Not Popular
16,Medialuna,2016-10-30 10:37:00,Morning,Weekend,2016-10-30,10:37:00,Sunday,10,Morning,Not Popular
16,Coffee,2016-10-30 10:37:00,Morning,Weekend,2016-10-30,10:37:00,Sunday,10,Morning,Popular
17,Hot chocolate,2016-10-30 10:38:00,Morning,Weekend,2016-10-30,10:38:00,Sunday,10,Morning,Not Popular
18,Farm House,2016-10-30 10:41:00,Morning,Weekend,2016-10-30,10:41:00,Sunday,10,Morning,Not Popular
19,Farm House,2016-10-30 10:43:00,Morning,Weekend,2016-10-30,10:43:00,Sunday,10,Morning,Not Popular
19,Bread,2016-10-30 10:43:00,Morning,Weekend,2016-10-30,10:43:00,Sunday,10,Morning,Not Popular
20,Bread,2016-10-30 10:45:00,Morning,Weekend,2016-10-30,10:45:00,Sunday,10,Morning,Not Popular
20,Medialuna,2016-10-30 10:45:00,Morning,Weekend,2016-10-30,10:45:00,Sunday,10,Morning,Not Popular
21,Coffee,2016-10-30 10:49:00,Morning,Weekend,2016-10-30,10:49:00,Sunday,10,Morning,Popular
21,Medialuna,2016-10-30 10:49:00,Morning,Weekend,2016-10-30,10:49:00,Sunday,10,Morning,Not Popular
21,Bread,2016-10-30 10:49:00,Morning,Weekend,2016-10-30,10:49:00,Sunday,10,Morning,Not Popular
22,Jam,2016-10-30 10:52:00,Morning,Weekend,2016-10-30,10:52:00,Sunday,10,Morning,Not Popular
23,Scandinavian,2016-10-30 10:53:00,Morning,Weekend,2016-10-30,10:53:00,Sunday,10,Morning,Not Popular
23,Muffin,2016-10-30 10:53:00,Morning,Weekend,2016-10-30,10:53:00,Sunday,10,Morning,Not Popular
24,Bread,2016-10-30 10:54:00,Morning,Weekend,2016-10-30,10:54:00,Sunday,10,Morning,Not Popular
25,Scandinavian,2016-10-30 10:55:00,Morning,Weekend,2016-10-30,10:55:00,Sunday,10,Morning,Not Popular
26,Fudge,2016-10-30 10:56:00,Morning,Weekend,2016-10-30,10:56:00,Sunday,10,Morning,Not Popular
27,Scandinavian,2016-10-30 11:02:00,Morning,Weekend,2016-10-30,11:02:00,Sunday,11,Morning,Not Popular
28,Coffee,2016-10-30 11:03:00,Morning,Weekend,2016-10-30,11:03:00,Sunday,11,Morning,Popular
28,Bread,2016-10-30 11:03:00,Morning,Weekend,2016-10-30,11:03:00,Sunday,11,Morning,Not Popular
29,Bread,2016-10-30 11:05:00,Morning,Weekend,2016-10-30,11:05:00,Sunday,11,Morning,Not Popular
29,Jam,2016-10-30 11:05:00,Morning,Weekend,2016-10-30,11:05:00,Sunday,11,Morning,Not Popular
30,Bread,2016-10-30 11:07:00,Morning,Weekend,2016-10-30,11:07:00,Sunday,11,Morning,Not Popular
31,Basket,2016-10-30 11:12:00,Morning,Weekend,2016-10-30,11:12:00,Sunday,11,Morning,Not Popular
32,Scandinavian,2016-10-30 11:16:00,Morning,Weekend,2016-10-30,11:16:00,Sunday,11,Morning,Not Popular
32,Muffin,2016-10-30 11:16:00,Morning,Weekend,2016-10-30,11:16:00,Sunday,11,Morning,Not Popular
33,Coffee,2016-10-30 11:22:00,Morning,Weekend,2016-10-30,11:22:00,Sunday,11,Morning,Popular
34,Coffee,2016-10-30 11:25:00,Morning,Weekend,2016-10-30,11:25:00,Sunday,11,Morning,Popular
34,Muffin,2016-10-30 11:25:00,Morning,Weekend,2016-10-30,11:25:00,Sunday,11,Morning,Not Popular
35,Muffin,2016-10-30 11:27:00,Morning,Weekend,2016-10-30,11:27:00,Sunday,11,Morning,Not Popular
35,Scandinavian,2016-10-30 11:27:00,Morning,Weekend,2016-10-30,11:27:00,Sunday,11,Morning,Not Popular
36,Tea,2016-10-30 11:33:00,Morning,Weekend,2016-10-30,11:33:00,Sunday,11,Morning,Not Popular
36,Bread,2016-10-30 11:33:00,Morning,Weekend,2016-10-30,11:33:00,Sunday,11,Morning,Not Popular
37,Coffee,2016-10-30 11:37:00,Morning,Weekend,2016-10-30,11:37:00,Sunday,11,Morning,Popular
37,Bread,2016-10-30 11:37:00,Morning,Weekend,2016-10-30,11:37:00,Sunday,11,Morning,Not Popular
38,Bread,2016-10-30 11:42:00,Morning,Weekend,2016-10-30,11:42:00,Sunday,11,Morning,Not Popular
38,Tea,2016-10-30 11:42:00,Morning,Weekend,2016-10-30,11:42:00,Sunday,11,Morning,Not Popular
39,Scandinavian,2016-10-30 11:44:00,Morning,Weekend,2016-10-30,11:44:00,Sunday,11,Morning,Not Popular
40,Juice,2016-10-30 11:55:00,Morning,Weekend,2016-10-30,11:55:00,Sunday,11,Morning,Not Popular
40,Tartine,2016-10-30 11:55:00,Morning,Weekend,2016-10-30,11:55:00,Sunday,11,Morning,Not Popular
40,Coffee,2016-10-30 11:55:00,Morning,Weekend,2016-10-30,11:55:00,Sunday,11,Morning,Popular
40,Muffin,2016-10-30 11:55:00,Morning,Weekend,2016-10-30,11:55:00,Sunday,11,Morning,Not Popular
41,Scandinavian,2016-10-30 11:57:00,Morning,Weekend,2016-10-30,11:57:00,Sunday,11,Morning,Not Popular
42,Bread,2016-10-30 11:57:00,Morning,Weekend,2016-10-30,11:57:00,Sunday,11,Morning,Not Popular
42,Tea,2016-10-30 11:57:00,Morning,Weekend,2016-10-30,11:57:00,Sunday,11,Morning,Not Popular
43,Scandinavian,2016-10-30 12:00:00,Afternoon,Weekend,2016-10-30,12:00:00,Sunday,12,Afternoon,Not Popular
43,Fudge,2016-10-30 12:00:00,Afternoon,Weekend,2016-10-30,12:00:00,Sunday,12,Afternoon,Not Popular
44,Coffee,2016-10-30 12:05:00,Afternoon,Weekend,2016-10-30,12:05:00,Sunday,12,Afternoon,Popular
44,Medialuna,2016-10-30 12:05:00,Afternoon,Weekend,2016-10-30,12:05:00,Sunday,12,Afternoon,Not Popular
45,Coffee,2016-10-30 12:08:00,Afternoon,Weekend,2016-10-30,12:08:00,Sunday,12,Afternoon,Popular
45,Hot chocolate,2016-10-30 12:08:00,Afternoon,Weekend,2016-10-30,12:08:00,Sunday,12,Afternoon,Not Popular
45,Medialuna,2016-10-30 12:08:00,Afternoon,Weekend,2016-10-30,12:08:00,Sunday,12,Afternoon,Not Popular
46,Coffee,2016-10-30 12:09:00,Afternoon,Weekend,2016-10-30,12:09:00,Sunday,12,Afternoon,Popular
47,Ella's Kitchen Pouches,2016-10-30 12:15:00,Afternoon,Weekend,2016-10-30,12:15:00,Sunday,12,Afternoon,Not Popular
47,Juice,2016-10-30 12:15:00,Afternoon,Weekend,2016-10-30,12:15:00,Sunday,12,Afternoon,Not Popular
47,Bread,2016-10-30 12:15:00,Afternoon,Weekend,2016-10-30,12:15:00,Sunday,12,Afternoon,Not Popular
47,Muffin,2016-10-30 12:15:00,Afternoon,Weekend,2016-10-30,12:15:00,Sunday,12,Afternoon,Not Popular
47,Jam,2016-10-30 12:15:00,Afternoon,Weekend,2016-10-30,12:15:00,Sunday,12,Afternoon,Not Popular
48,Coffee,2016-10-30 12:17:00,Afternoon,Weekend,2016-10-30,12:17:00,Sunday,12,Afternoon,Popular
49,Coffee,2016-10-30 12:23:00,Afternoon,Weekend,2016-10-30,12:23:00,Sunday,12,Afternoon,Popular
49,Medialuna,2016-10-30 12:23:00,Afternoon,Weekend,2016-10-30,12:23:00,Sunday,12,Afternoon,Not Popular
50,Bread,2016-10-30 12:25:00,Afternoon,Weekend,2016-10-30,12:25:00,Sunday,12,Afternoon,Not Popular
50,Victorian Sponge,2016-10-30 12:25:00,Afternoon,Weekend,2016-10-30,12:25:00,Sunday,12,Afternoon,Not Popular
51,Bread,2016-10-30 12:26:00,Afternoon,Weekend,2016-10-30,12:26:00,Sunday,12,Afternoon,Not Popular
52,Scandinavian,2016-10-30 12:28:00,Afternoon,Weekend,2016-10-30,12:28:00,Sunday,12,Afternoon,Not Popular
54,Bread,2016-10-30 12:33:00,Afternoon,Weekend,2016-10-30,12:33:00,Sunday,12,Afternoon,Not Popular
55,Frittata,2016-10-30 12:38:00,Afternoon,Weekend,2016-10-30,12:38:00,Sunday,12,Afternoon,Not Popular
55,Coffee,2016-10-30 12:38:00,Afternoon,Weekend,2016-10-30,12:38:00,Sunday,12,Afternoon,Popular
55,Tea,2016-10-30 12:38:00,Afternoon,Weekend,2016-10-30,12:38:00,Sunday,12,Afternoon,Not Popular
55,Hearty & Seasonal,2016-10-30 12:38:00,Afternoon,Weekend,2016-10-30,12:38:00,Sunday,12,Afternoon,Not Popular
56,Coffee,2016-10-30 12:39:00,Afternoon,Weekend,2016-10-30,12:39:00,Sunday,12,Afternoon,Popular
56,Frittata,2016-10-30 12:39:00,Afternoon,Weekend,2016-10-30,12:39:00,Sunday,12,Afternoon,Not Popular
57,Scandinavian,2016-10-30 12:45:00,Afternoon,Weekend,2016-10-30,12:45:00,Sunday,12,Afternoon,Not Popular
58,Victorian Sponge,2016-10-30 12:59:00,Afternoon,Weekend,2016-10-30,12:59:00,Sunday,12,Afternoon,Not Popular
58,Hot chocolate,2016-10-30 12:59:00,Afternoon,Weekend,2016-10-30,12:59:00,Sunday,12,Afternoon,Not Popular
58,Tea,2016-10-30 12:59:00,Afternoon,Weekend,2016-10-30,12:59:00,Sunday,12,Afternoon,Not Popular
58,Soup,2016-10-30 12:59:00,Afternoon,Weekend,2016-10-30,12:59:00,Sunday,12,Afternoon,Not Popular
59,Tea,2016-10-30 13:02:00,Afternoon,Weekend,2016-10-30,13:02:00,Sunday,13,Afternoon,Not Popular
60,Cookies,2016-10-30 13:14:00,Afternoon,Weekend,2016-10-30,13:14:00,Sunday,13,Afternoon,Not Popular
60,Coffee,2016-10-30 13:14:00,Afternoon,Weekend,2016-10-30,13:14:00,Sunday,13,Afternoon,Popular
60,Juice,2016-10-30 13:14:00,Afternoon,Weekend,2016-10-30,13:14:00,Sunday,13,Afternoon,Not Popular
61,Coffee,2016-10-30 13:15:00,Afternoon,Weekend,2016-10-30,13:15:00,Sunday,13,Afternoon,Popular
62,Pick and Mix Bowls,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Sunday,13,Afternoon,Not Popular
62,Hearty & Seasonal,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Sunday,13,Afternoon,Not Popular
62,Coffee,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Sunday,13,Afternoon,Popular
62,Smoothies,2016-10-30 13:24:00,Afternoon,Weekend,2016-10-30,13:24:00,Sunday,13,Afternoon,Not Popular
63,Coffee,2016-10-30 13:33:00,Afternoon,Weekend,2016-10-30,13:33:00,Sunday,13,Afternoon,Popular
64,Cake,2016-10-30 13:34:00,Afternoon,Weekend,2016-10-30,13:34:00,Sunday,13,Afternoon,Not Popular
65,Tartine,2016-10-30 13:37:00,Afternoon,Weekend,2016-10-30,13:37:00,Sunday,13,Afternoon,Not Popular
65,Mighty Protein,2016-10-30 13:37:00,Afternoon,Weekend,2016-10-30,13:37:00,Sunday,13,Afternoon,Not Popular
65,Tea,2016-10-30 13:37:00,Afternoon,Weekend,2016-10-30,13:37:00,Sunday,13,Afternoon,Not Popular
65,Coffee,2016-10-30 13:37:00,Afternoon,Weekend,2016-10-30,13:37:00,Sunday,13,Afternoon,Popular
66,Hearty & Seasonal,2016-10-30 13:40:00,Afternoon,Weekend,2016-10-30,13:40:00,Sunday,13,Afternoon,Not Popular
66,Frittata,2016-10-30 13:40:00,Afternoon,Weekend,2016-10-30,13:40:00,Sunday,13,Afternoon,Not Popular
66,Mineral water,2016-10-30 13:40:00,Afternoon,Weekend,2016-10-30,13:40:00,Sunday,13,Afternoon,Not Popular
67,Hearty & Seasonal,2016-10-30 13:46:00,Afternoon,Weekend,2016-10-30,13:46:00,Sunday,13,Afternoon,Not Popular
67,Mineral water,2016-10-30 13:46:00,Afternoon,Weekend,2016-10-30,13:46:00,Sunday,13,Afternoon,Not Popular
67,Muffin,2016-10-30 13:46:00,Afternoon,Weekend,2016-10-30,13:46:00,Sunday,13,Afternoon,Not Popular
68,Frittata,2016-10-30 13:49:00,Afternoon,Weekend,2016-10-30,13:49:00,Sunday,13,Afternoon,Not Popular
68,Coffee,2016-10-30 13:49:00,Afternoon,Weekend,2016-10-30,13:49:00,Sunday,13,Afternoon,Popular
68,Tea,2016-10-30 13:49:00,Afternoon,Weekend,2016-10-30,13:49:00,Sunday,13,Afternoon,Not Popular
68,Scandinavian,2016-10-30 13:49:00,Afternoon,Weekend,2016-10-30,13:49:00,Sunday,13,Afternoon,Not Popular
68,Chicken sand,2016-10-30 13:49:00,Afternoon,Weekend,2016-10-30,13:49:00,Sunday,13,Afternoon,Not Popular
69,Bread,2016-10-30 13:51:00,Afternoon,Weekend,2016-10-30,13:51:00,Sunday,13,Afternoon,Not Popular
69,Tea,2016-10-30 13:51:00,Afternoon,Weekend,2016-10-30,13:51:00,Sunday,13,Afternoon,Not Popular
69,Victorian Sponge,2016-10-30 13:51:00,Afternoon,Weekend,2016-10-30,13:51:00,Sunday,13,Afternoon,Not Popular
70,Fudge,2016-10-30 13:54:00,Afternoon,Weekend,2016-10-30,13:54:00,Sunday,13,Afternoon,Not Popular
71,Muffin,2016-10-30 13:56:00,Afternoon,Weekend,2016-10-30,13:56:00,Sunday,13,Afternoon,Not Popular
72,Coffee,2016-10-30 14:21:00,Afternoon,Weekend,2016-10-30,14:21:00,Sunday,14,Afternoon,Popular
72,Bread,2016-10-30 14:21:00,Afternoon,Weekend,2016-10-30,14:21:00,Sunday,14,Afternoon,Not Popular
73,Bread,2016-10-30 14:22:00,Afternoon,Weekend,2016-10-30,14:22:00,Sunday,14,Afternoon,Not Popular
74,Coffee,2016-10-30 14:24:00,Afternoon,Weekend,2016-10-30,14:24:00,Sunday,14,Afternoon,Popular
74,Bread,2016-10-30 14:24:00,Afternoon,Weekend,2016-10-30,14:24:00,Sunday,14,Afternoon,Not Popular
75,Jam,2016-10-30 14:32:00,Afternoon,Weekend,2016-10-30,14:32:00,Sunday,14,Afternoon,Not Popular
75,Frittata,2016-10-30 14:32:00,Afternoon,Weekend,2016-10-30,14:32:00,Sunday,14,Afternoon,Not Popular
76,Coffee,2016-10-30 14:32:00,Afternoon,Weekend,2016-10-30,14:32:00,Sunday,14,Afternoon,Popular
77,Scandinavian,2016-10-30 14:35:00,Afternoon,Weekend,2016-10-30,14:35:00,Sunday,14,Afternoon,Not Popular
78,Fudge,2016-10-30 14:42:00,Afternoon,Weekend,2016-10-30,14:42:00,Sunday,14,Afternoon,Not Popular
79,Fudge,2016-10-30 14:45:00,Afternoon,Weekend,2016-10-30,14:45:00,Sunday,14,Afternoon,Not Popular
79,Tea,2016-10-30 14:45:00,Afternoon,Weekend,2016-10-30,14:45:00,Sunday,14,Afternoon,Not Popular
79,Coffee,2016-10-30 14:45:00,Afternoon,Weekend,2016-10-30,14:45:00,Sunday,14,Afternoon,Popular
79,Muffin,2016-10-30 14:45:00,Afternoon,Weekend,2016-10-30,14:45:00,Sunday,14,Afternoon,Not Popular
80,Frittata,2016-10-30 14:48:00,Afternoon,Weekend,2016-10-30,14:48:00,Sunday,14,Afternoon,Not Popular
80,Bread,2016-10-30 14:48:00,Afternoon,Weekend,2016-10-30,14:48:00,Sunday,14,Afternoon,Not Popular
80,Coffee,2016-10-30 14:48:00,Afternoon,Weekend,2016-10-30,14:48:00,Sunday,14,Afternoon,Popular
81,Coffee,2016-10-31 08:28:00,Morning,Weekday,2016-10-31,08:28:00,Monday,8,Morning,Popular
81,Cake,2016-10-31 08:28:00,Morning,Weekday,2016-10-31,08:28:00,Monday,8,Morning,Not Popular
82,Tartine,2016-10-31 08:47:00,Morning,Weekday,2016-10-31,08:47:00,Monday,8,Morning,Not Popular
82,Bread,2016-10-31 08:47:00,Morning,Weekday,2016-10-31,08:47:00,Monday,8,Morning,Not Popular
83,Coffee,2016-10-31 08:57:00,Morning,Weekday,2016-10-31,08:57:00,Monday,8,Morning,Popular
83,Bread,2016-10-31 08:57:00,Morning,Weekday,2016-10-31,08:57:00,Monday,8,Morning,Not Popular
84,Bread,2016-10-31 09:04:00,Morning,Weekday,2016-10-31,09:04:00,Monday,9,Morning,Not Popular
85,Coffee,2016-10-31 09:10:00,Morning,Weekday,2016-10-31,09:10:00,Monday,9,Morning,Popular
85,Pastry,2016-10-31 09:10:00,Morning,Weekday,2016-10-31,09:10:00,Monday,9,Morning,Not Popular
85,Medialuna,2016-10-31 09:10:00,Morning,Weekday,2016-10-31,09:10:00,Monday,9,Morning,Not Popular
86,Juice,2016-10-31 09:11:00,Morning,Weekday,2016-10-31,09:11:00,Monday,9,Morning,Not Popular
87,Bread,2016-10-31 09:12:00,Morning,Weekday,2016-10-31,09:12:00,Monday,9,Morning,Not Popular
88,Coffee,2016-10-31 09:16:00,Morning,Weekday,2016-10-31,09:16:00,Monday,9,Morning,Popular
88,Jam,2016-10-31 09:16:00,Morning,Weekday,2016-10-31,09:16:00,Monday,9,Morning,Not Popular
89,Bread,2016-10-31 09:19:00,Morning,Weekday,2016-10-31,09:19:00,Monday,9,Morning,Not Popular
90,Bread,2016-10-31 09:20:00,Morning,Weekday,2016-10-31,09:20:00,Monday,9,Morning,Not Popular
90,Coffee,2016-10-31 09:20:00,Morning,Weekday,2016-10-31,09:20:00,Monday,9,Morning,Popular
91,Tea,2016-10-31 09:22:00,Morning,Weekday,2016-10-31,09:22:00,Monday,9,Morning,Not Popular
92,Coffee,2016-10-31 09:27:00,Morning,Weekday,2016-10-31,09:27:00,Monday,9,Morning,Popular
93,Bread,2016-10-31 09:29:00,Morning,Weekday,2016-10-31,09:29:00,Monday,9,Morning,Not Popular
93,Coke,2016-10-31 09:29:00,Morning,Weekday,2016-10-31,09:29:00,Monday,9,Morning,Not Popular
94,Coffee,2016-10-31 09:39:00,Morning,Weekday,2016-10-31,09:39:00,Monday,9,Morning,Popular
95,Tea,2016-10-31 09:43:00,Morning,Weekday,2016-10-31,09:43:00,Monday,9,Morning,Not Popular
95,Pastry,2016-10-31 09:43:00,Morning,Weekday,2016-10-31,09:43:00,Monday,9,Morning,Not Popular
95,Farm House,2016-10-31 09:43:00,Morning,Weekday,2016-10-31,09:43:00,Monday,9,Morning,Not Popular
96,Pastry,2016-10-31 09:46:00,Morning,Weekday,2016-10-31,09:46:00,Monday,9,Morning,Not Popular
96,Coffee,2016-10-31 09:46:00,Morning,Weekday,2016-10-31,09:46:00,Monday,9,Morning,Popular
96,Juice,2016-10-31 09:46:00,Morning,Weekday,2016-10-31,09:46:00,Monday,9,Morning,Not Popular
97,Coffee,2016-10-31 09:51:00,Morning,Weekday,2016-10-31,09:51:00,Monday,9,Morning,Popular
97,Pastry,2016-10-31 09:51:00,Morning,Weekday,2016-10-31,09:51:00,Monday,9,Morning,Not Popular
97,Juice,2016-10-31 09:51:00,Morning,Weekday,2016-10-31,09:51:00,Monday,9,Morning,Not Popular
98,Farm House,2016-10-31 09:52:00,Morning,Weekday,2016-10-31,09:52:00,Monday,9,Morning,Not Popular
99,Pastry,2016-10-31 09:56:00,Morning,Weekday,2016-10-31,09:56:00,Monday,9,Morning,Not Popular
99,Coffee,2016-10-31 09:56:00,Morning,Weekday,2016-10-31,09:56:00,Monday,9,Morning,Popular
99,Bread,2016-10-31 09:56:00,Morning,Weekday,2016-10-31,09:56:00,Monday,9,Morning,Not Popular
100,Bread,2016-10-31 09:58:00,Morning,Weekday,2016-10-31,09:58:00,Monday,9,Morning,Not Popular
101,Coffee,2016-10-31 10:04:00,Morning,Weekday,2016-10-31,10:04:00,Monday,10,Morning,Popular
101,Pastry,2016-10-31 10:04:00,Morning,Weekday,2016-10-31,10:04:00,Monday,10,Morning,Not Popular
102,Farm House,2016-10-31 10:04:00,Morning,Weekday,2016-10-31,10:04:00,Monday,10,Morning,Not Popular
103,Bread,2016-10-31 10:07:00,Morning,Weekday,2016-10-31,10:07:00,Monday,10,Morning,Not Popular
104,Coffee,2016-10-31 10:12:00,Morning,Weekday,2016-10-31,10:12:00,Monday,10,Morning,Popular
104,Medialuna,2016-10-31 10:12:00,Morning,Weekday,2016-10-31,10:12:00,Monday,10,Morning,Not Popular
104,Muffin,2016-10-31 10:12:00,Morning,Weekday,2016-10-31,10:12:00,Monday,10,Morning,Not Popular
105,Coffee,2016-10-31 10:21:00,Morning,Weekday,2016-10-31,10:21:00,Monday,10,Morning,Popular
105,Tea,2016-10-31 10:21:00,Morning,Weekday,2016-10-31,10:21:00,Monday,10,Morning,Not Popular
105,Cake,2016-10-31 10:21:00,Morning,Weekday,2016-10-31,10:21:00,Monday,10,Morning,Not Popular
106,Coffee,2016-10-31 10:24:00,Morning,Weekday,2016-10-31,10:24:00,Monday,10,Morning,Popular
106,Pastry,2016-10-31 10:24:00,Morning,Weekday,2016-10-31,10:24:00,Monday,10,Morning,Not Popular
107,Coffee,2016-10-31 10:27:00,Morning,Weekday,2016-10-31,10:27:00,Monday,10,Morning,Popular
107,Tea,2016-10-31 10:27:00,Morning,Weekday,2016-10-31,10:27:00,Monday,10,Morning,Not Popular
108,Farm House,2016-10-31 10:31:00,Morning,Weekday,2016-10-31,10:31:00,Monday,10,Morning,Not Popular
108,Muffin,2016-10-31 10:31:00,Morning,Weekday,2016-10-31,10:31:00,Monday,10,Morning,Not Popular
109,Bread,2016-10-31 10:35:00,Morning,Weekday,2016-10-31,10:35:00,Monday,10,Morning,Not Popular
109,Muffin,2016-10-31 10:35:00,Morning,Weekday,2016-10-31,10:35:00,Monday,10,Morning,Not Popular
109,Pastry,2016-10-31 10:35:00,Morning,Weekday,2016-10-31,10:35:00,Monday,10,Morning,Not Popular
110,Pastry,2016-10-31 10:36:00,Morning,Weekday,2016-10-31,10:36:00,Monday,10,Morning,Not Popular
111,Coffee,2016-10-31 10:38:00,Morning,Weekday,2016-10-31,10:38:00,Monday,10,Morning,Popular
112,Coffee,2016-10-31 10:59:00,Morning,Weekday,2016-10-31,10:59:00,Monday,10,Morning,Popular
113,Coffee,2016-10-31 11:02:00,Morning,Weekday,2016-10-31,11:02:00,Monday,11,Morning,Popular
113,Cake,2016-10-31 11:02:00,Morning,Weekday,2016-10-31,11:02:00,Monday,11,Morning,Not Popular
114,Farm House,2016-10-31 11:05:00,Morning,Weekday,2016-10-31,11:05:00,Monday,11,Morning,Not Popular
115,Bread,2016-10-31 11:08:00,Morning,Weekday,2016-10-31,11:08:00,Monday,11,Morning,Not Popular
116,Coffee,2016-10-31 11:11:00,Morning,Weekday,2016-10-31,11:11:00,Monday,11,Morning,Popular
117,Cookies,2016-10-31 11:13:00,Morning,Weekday,2016-10-31,11:13:00,Monday,11,Morning,Not Popular
117,Cake,2016-10-31 11:13:00,Morning,Weekday,2016-10-31,11:13:00,Monday,11,Morning,Not Popular
117,Coffee,2016-10-31 11:13:00,Morning,Weekday,2016-10-31,11:13:00,Monday,11,Morning,Popular
117,My-5 Fruit Shoot,2016-10-31 11:13:00,Morning,Weekday,2016-10-31,11:13:00,Monday,11,Morning,Not Popular
118,Cookies,2016-10-31 11:18:00,Morning,Weekday,2016-10-31,11:18:00,Monday,11,Morning,Not Popular
